0	0
10.1	1
13.9	1
4.6	2
42.9	1
44.1	1
44.3	1
46.6	1
5.1	1
53.6	1
54.9	1
55.5	1
56.5	1
56.9	1
59.1	1
59.6	1
60.6	1
62.1	1
63.1	1
64.3	1
65.7	1
65.8	1
66.3	1
67.3	1
67.5	1
68	1
68.2	1
68.7	1
68.8	1
68.9	1
69.6	1
69.8	1
7.2	1
70.8	1
70.9	1
71	2
71.7	1
71.9	1
72	1
72.1	1
72.2	1
72.4	2
72.5	1
72.6	1
73	1
73.4	2
73.5	1
73.6	2
73.7	1
74.2	1
74.3	1
74.5	1
75.1	1
75.2	1
75.6	1
76	1
76.1	1
76.6	1
76.7	1
77.8	4
78.1	1
78.3	1
78.5	2
79.2	1
79.4	1
79.6	2
80	1
80.7	1
80.9	1
81	1
81.2	2
81.3	1
81.4	1
81.6	1
81.7	2
81.8	1
81.9	2
82	1
82.1	2
82.3	1
82.4	3
82.5	1
82.6	2
82.8	1
82.9	1
83.1	1
83.3	1
83.5	1
83.6	1
83.8	1
84.1	1
84.2	1
84.6	3
84.8	1
85	1
85.2	1
85.4	1
85.5	1
85.6	1
85.8	1
85.9	1
86.1	1
86.2	1
86.5	1
86.6	2
86.7	1
86.8	2
87.4	1
87.5	2
87.7	1
87.9	1
88.1	1
88.3	1
88.5	1
88.8	1
89.7	1
89.9	1
90.3	1
90.4	2
90.6	1
91.3	2
91.8	1
92.1	1
92.2	1
92.3	1
93	1
93.1	2
93.4	1
93.9	1
94.4	1
94.9	1
95	1
95.1	2
96.5	2
100	0
